id,state,Longitude,Latitude,abbrev
US-AL,Alabama,-86.82839,32.78888,AL
US-AZ,Arizona,-111.66448,34.29283,AZ
US-AR,Arkansas,-92.43785,34.90002,AR
US-CA,California,-119.61177,37.25366,CA
US-CO,Colorado,-105.5476,38.99842,CO
US-CT,Connecticut,-72.72689,41.61873,CT
US-DE,Delaware,-75.50095,39.00063,DE
US-FL,Florida,-82.50129,28.6199,FL
US-GA,Georgia,-83.44336,32.64809,GA
US-ID,Idaho,-114.65872,44.39033,ID
US-IL,Illinois,-89.19752,40.06348,IL
US-IN,Indiana,-86.27501,39.90782,IN
US-IA,Iowa,-93.49896,42.07492,IA
US-KS,Kansas,-98.37891,38.48515,KS
US-KY,Kentucky,-85.28902,37.52595,KY
US-LA,Louisiana,-91.94549,31.02018,LA
US-ME,Maine,-69.21419,45.34413,ME
US-MD,Maryland,-76.75239,39.02997,MD
US-MA,Massachusetts,-71.79442,42.25865,MA
US-MI,Michigan,-84.6208,43.48876,MI
US-MN,Minnesota,-94.30634,46.31793,MN
US-MS,Mississippi,-89.66216,32.75095,MS
US-MO,Missouri,-92.47789,38.36847,MO
US-MT,Montana,-109.64303,47.03433,MT
US-NE,Nebraska,-99.81026,41.52719,NE
US-NV,Nevada,-116.65525,39.3563,NV
US-NH,New Hampshire,-71.5767,43.68569,NH
US-NJ,New Jersey,-74.66084,40.18497,NJ
US-NM,New Mexico,-106.10836,34.42141,NM
US-NY,New York,-75.49899,42.93771,NY
US-NC,North Carolina,-79.18181,35.53869,NC
US-ND,North Dakota,-100.46881,47.44632,ND
US-OH,Ohio,-82.79137,40.29479,OH
US-OK,Oklahoma,-97.50897,35.5843,OK
US-OR,Oregon,-120.55674,43.93693,OR
US-PA,Pennsylvania,-77.79954,40.87416,PA
US-RI,Rhode Island,-71.53089,41.67243,RI
US-SC,South Carolina,-80.89521,33.90818,SC
US-SD,South Dakota,-100.23071,44.43595,SD
US-TN,Tennessee,-86.34064,35.84332,TN
US-TX,Texas,-99.33232,31.462,TX
US-UT,Utah,-111.67806,39.32378,UT
US-VT,Vermont,-72.66221,44.07478,VT
US-VA,Virginia,-78.86117,37.5103,VA
US-WA,Washington,-120.47905,47.38311,WA
US-WV,West Virginia,-80.61164,38.64411,WV
US-WI,Wisconsin,-90.01083,44.6351,WI
US-WY,Wyoming,-107.55124,42.99963,WY
CA-AB,Alberta,-114.50905,55.16569,AB
CA-SK,Saskatchewan,-105.88745,54.41843,SK
CA-MB,Manitoba,-97.40543,54.94266,MB
CA-NL,Newfoundland & Labrador,-61.9889,54.28676,NL
CA-PE,Prince Edward Island,-63.29844,46.39808,PE
CA-NS,Nova Scotia,-63.95499,44.89544,NS
CA-NT,Northwest Territories,-119.55865,64.36073,NT
CA-NU,Nunavut,-98.51212,65.92934,NU
CA-ON,Ontario,-86.07148,50.46553,ON
CA-NB,New Brunswick,-66.37697,46.62063,NB
CA-YT,Yukon Territory,-135.50922,63.62345,YT
CA-BC,British Columbia,-124.5965,54.98057,BC
CA-QC,Quebec,-71.958,53.74284,QC
