COVID-19 Vaccinations in the United States
Date generated: Sun Jan 10 2021 18:55:09 GMT-0700 (Mountain Standard Time)

State/Territory/Federal Entity,Total Distributed,Total Administered,Distributed per 100K,Administered per 100K
Alaska,93175,24562,12737,3358
Alabama,283200,57105,5776,1165
Arkansas,225100,40899,7459,1355
American Samoa,10650,1331,19124,2390
Arizona,453875,106288,6236,1460
Bureau of Prisons,14100,14909,N/A,N/A
California,2315325,584366,5860,1479
Colorado,381775,145164,6629,2521
Connecticut,219125,116277,6146,3261
District of Columbia,49250,21681,6978,3072
Dept of Defense,347600,95482,N/A,N/A
Delaware,65350,18482,6711,1898
Florida,1355775,402802,6312,1875
Federated States of Micronesia,9800,197,9456,190
Georgia,687425,119118,6474,1122
Guam,19300,3791,11643,2287
Hawaii,95700,27375,6759,1933
Iowa,191675,80621,6075,2555
Idaho,108825,25335,6090,1418
Indian Health Svc,192850,58028,N/A,N/A
Illinois,769700,234051,6074,1847
Indiana,430025,137933,6388,2049
Kansas,191225,58841,6564,2020
Kentucky,267750,94443,5993,2114
Louisiana,299325,78608,6439,1691
Massachusetts,449625,151430,6523,2197
Maryland,371425,114731,6144,1898
Maine,96475,41429,7177,3082
Marshall Islands,7200,0,12326,0
Michigan,662550,156251,6634,1565
Minnesota,381325,110427,6762,1958
Missouri,406150,124721,6618,2032
Northern Mariana Islands,18650,3101,32787,5452
Mississippi,159625,34406,5363,1156
Montana,71950,31444,6732,2942
North Carolina,649150,178136,6189,1698
North Dakota,43950,29954,5767,3931
Nebraska,143700,68297,7429,3531
New Hampshire,89375,41868,6573,3079
New Jersey,572250,156021,6443,1757
New Mexico,145025,56366,6916,2688
Nevada,187375,44656,6083,1450
New York State,1208900,434802,6214,2235
Ohio,646450,223424,5530,1911
Oklahoma,297625,103020,7522,2604
Oregon,262300,66933,6219,1587
Pennsylvania,812550,226478,6347,1769
Puerto Rico,237650,51428,7441,1610
Rhode Island,72175,30264,6813,2857
Republic of Palau,2800,247,15636,1379
South Carolina,256550,64729,4983,1257
South Dakota,67925,36890,7678,4170
Tennessee,458100,196642,6708,2879
Texas,1833350,618298,6323,2132
Utah,207500,71669,6472,2235
Virginia,556625,150104,6521,1759
Veterans Health,617450,168159,N/A,N/A
Virgin Islands,7875,410,7523,392
Vermont,48550,22331,7781,3579
Washington,518550,135097,6810,1774
Wisconsin,323075,98373,5549,1690
West Virginia,126275,87215,7046,4867
Wyoming,41375,10791,7149,1865
