Name,id,Country,top_pit_prov,top_pit,pit_300k_state,pit_300k_fed,pit_300k,GDP,Exports,Imports,Exp_US_CDN_Trade_2022,Imp_US_CDN_Trade_2022,gdp_2017,gdp_2018,gdp_2019,gdp_2022,gdp_2023,gdp_2024,pop_2017,pop_2018,pop_2019,pop_2020,pop_2022,pop_2023,pop_2024,pop_2025,cadusd_2022,cadusd_2017,cadusd_2018,ppp_2016,ppp_2018,ppp_2019,ppp_2022,ppp_2023,ppp_2024,medianHH_2016,fed_rev_2017,fed_rev_2019,fed_exp_2017,fed_exp_2018,fed_exp_2019,fed_rev_2023,fed_exp_2023,fed_rev_2024,fed_exp_2024,int_trade_share_2019,covid_cases,gdp_growth_2020
Newfoundland and Labrador,CA-NL,Canada,0.218,0.548,,0.33,0.538,30732.1,4970.856901,1286.419288,7225.615447,706.8403,33690,33961,35349,40720,40363,42219,528249,525560,523476,522103,525972,538789,546869,549911,1.3497,1.2986,1.2957,1.207,1.198,1.194,1.254,1.14,1.15,67272,4677,4833,6298,6302,6857,5512,8684,6142,9976,0.25,0.47,-5.3
Prince Edward Island,CA-PE,Canada,0.1875,0.5175,,0.33,0.5175,6414.882,925.485415,30.233225,1551.663182,30.843836,6790,7033,7523,9376,10134,10889,150402,153396,157262,159625,170688,173734,179709,182657,1.3497,1.2986,1.2957,1.207,1.198,1.194,1.254,1.14,1.15,61163,983,1098,2265,2392,2609,1504,3354,1631,3853,0.43,0.45,-3
Nova Scotia,CA-NS,Canada,0.21,0.54,,0.33,0.54,41069.725,3653.677549,1039.369539,4333.688838,666.439326,43314,44877,46586,54383,60487,65338,950108,958406,969747,979351,1019725,1053005,1082769,1093245,1.3497,1.2986,1.2957,1.207,1.198,1.194,1.254,1.14,1.15,60764,6704,7330,13436,14171,15015,9568,20111,10170,22038,0.32,6.33,-3.2
New Brunswick,CA-NB,Canada,0.195,0.525,,0.33,0.525,33911.352,9750.616736,4105.954074,17373.49975,10210.49314,35828,37105,38236,44501,46463,48302,766621,770301,776868,781476,812061,831103,858293,869682,1.3497,1.2986,1.2957,1.207,1.198,1.194,1.254,1.14,1.15,59347,5143,5599,10000,10308,10965,7284,14772,7664,16370,0.33,1.57,-3.7
Quebec,CA-QC,Canada,0.2031,0.5331,,0.33,0.5331,392782.132,57048.21633,23875.41782,82436.76443,34014.11513,418674,441388,460357,545594,582495,616771,8302063,8401738,8501703,8574571,8695659,8821696,8995474,9058297,1.3497,1.2986,1.2957,1.207,1.198,1.194,1.254,1.14,1.15,59822,55608,64142,71077,72884,77620,81144,102435,84417,111064,0.15,12.15,-5.3
Ontario,CA-ON,Canada,0.1316,0.5353,,0.33,0.5353,797623.42,206585.8409,189068.2529,176788.5086,232159.6689,824979,859079,891811,1048258,1138592,1197020,14070141,14308697,14544718,14734014,15109416,15632481,16144797,16258260,1.3497,1.2986,1.2957,1.207,1.198,1.194,1.254,1.14,1.15,74287,131110,146445,111126,116355,125150,193713,172558,204133,218578,0.13,25.68,-5
Manitoba,CA-MB,Canada,0.174,0.504,,0.33,0.504,67771.998,9178.155732,15255.54786,15300.08792,21463.27796,71285,73086,73814,86531,93045,96125,1334790,1352825,1369540,1379263,1409223,1453202,1492144,1509702,1.3497,1.2986,1.2957,1.207,1.198,1.194,1.254,1.14,1.15,68147,9571,10852,14105,14854,15948,13416,23365,14170,26079,0.3,16.39,-4.8
Saskatchewan,CA-SK,Canada,0.145,0.475,,0.33,0.475,76000.155,12884.67536,7488.333346,29315.6108,12280.37616,80257,82847,82917,114412,112895,112839,1150331,1161767,1172302,1178681,1194803,1210257,1247868,1266959,1.3497,1.2986,1.2957,1.207,1.198,1.194,1.254,1.14,1.15,75412,9662,10791,10168,10638,11572,14389,16513,14276,21707,0.32,20.98,-5.2
Alberta,CA-AB,Canada,0.15,0.48,,0.33,0.47,307826.319,68057.74522,16360.25378,183875.4753,26396.78959,332256,343705,352884,459288,451008,473937,4241100,4298275,4361694,4421876,4543111,4688576,4909030,5029346,1.3497,1.2986,1.2957,1.207,1.198,1.194,1.254,1.14,1.15,93835,43869,49616,29293,29755,31814,66747,48044,73354,54354,0.21,36.99,-8.2
British Columbia,CA-BC,Canada,0.205,0.535,,0.33,0.535,262730.031,21188.62291,19695.26336,37367.55266,26581.99785,282283,296135,309059,395215,414465,429089,4929384,5010476,5090955,5147712,5319324,5515296,5671114,5697536,1.3497,1.2986,1.2957,1.207,1.198,1.194,1.254,1.14,1.15,69995,43534,49661,35304,36915,39950,65710,54294,68893,60766,0.19,17.03,-3.8
